rumour, extended: dramatic video of gunfire inside hallways of parliament hill. (the globe and mail)
rumour, police have clarified that there were two shootings in ottawa today, not three: at the war memorial and parliament hill.
rumour, soldier killed in ottawa identified as cpl. nathan cirillo
rumour, norad increases number of planes on higher alert status ready to respond if necessary, official says. ottawashooting
rumour, all 3 patients injured in ottawashooting released from hospital: ottawa hospital spokesperson. cdnpoli
rumour, nhl postpones maple leafs-senators game after tragic shootings in ottawa.
rumour, breaking military sources, friends id nathan frank cirillo as soldier killed in ottawa
rumour, rest in peace cpl. nathan cirillo via globeandmail ottawashooting
rumour, map of three ottawa locations where police say shots have been fired
rumour, full white house statement on obama's call to ottawa
rumour, twenty-four-year-old cpl. nathan cirillo was shot dead today at the war memorial in ottawa. cdnpoli ottawashooting
rumour, ottawashooting police say they are investigating 3 shootings, one at war memorial, one on parliament hill and one near rideau centre
rumour, reports now that 2nd shooter has been shot in downtown ottawa ottnews
rumour, breaking: reports that the dead shooting suspect is michael zehaf-bibeau, born 1982. he is reportedly canadian-born. ottawashooting
rumour, breaking: soldier shot at war memorial near canadian parliament:
rumour, video just on cbc nn: globeandmail video showing shots fired inside parliament hill. cdnpoli
rumour, at least 30 more shots were fired inside parliament in ottawa.
rumour, raw video : parliament hill shooting. video from inside parliament hill after shots were fired. breaking cbcnews
rumour, ottawa police report a third shooting incident at the rideau centre. no word on injuries.
rumour, canada identifies muslim convert michael zehaf-bibeau as suspected shooter in ottawa attack, u.s. officials tell cnn. ottawashooting
rumour, soldier gets cpr after being shot at war memorial in ottawa
rumour, the university of ottawa, just a five minute walk from the hill, is now on lockdown.
rumour, updated: full story on nathan cirillo, the soldier killed in ottawashooting
rumour, breaking: michael zehaf-bebeau had been designated "high-risk traveller" by cdn govt, which confiscated his passport
rumour, ottawa shooting: nathan cirillo, reservist from hamilton, killed in attack
rumour, breaking news: soldier shot at national war memorial in ottawa
rumour, updated: the shooting incident in ottawa had the appearance of a coordinated attack
rumour, ctv news confirms that canadian authorities have provided us authorities with the name michael zehaf-bibeau in connection to ottawa shooting
rumour, according to reports, one gunman is dead in ottawa parliament shooting. live coverage:
rumour, canadian soldier killed in ottawa identified // cdnpoli ottawashooting
rumour, senior u.s. official: canadian government has informed u.s. that one shooter is dead in ottawa. live blog:
rumour, canadian parliament on lockdown after shooting – live updates
rumour, witness says say three or four shots fired at ottawa's war memorial, soldier wounded, being treated by several paramedics.
rumour, gut-wrenching to hear the soldier guarding our national war memorial has died. rest in peace cpl nathan cirillo ottawashooting #neverforget
rumour, ottawa police and rcmp will be announcing a joint press conference time shortly. cbcott ottnews
rumour, ottawa police spokesman tells abc news that 3 suspects are being sought following shootings in canadian capital - worldnews
rumour, police are holding a news conference to provide the latest on today's incidents in ottawa. watch live now on cnngo.
rumour, witnesses say as many as 50 shots fired at parliament hill. gunfire reported within the parliament building. ottawa
rumour, the latest cbcnews on ottawa shootings. gunman killed inside parliament, soldier shot at war memorial. cdnpoli
rumour, in pictures: shots fired on parliament hill, soldier shot at national war memorial
rumour, soldier killed at war memorial identified as cpl. nathan cirillo ottawashooting
rumour, ctv news has confirmed the name canadian authorities provided to u.s. authorities is michael zehaf-bibeau. ottawashooting
rumour, ottawa police chief confirms that both gunman and soldier at war memorial are dead.
rumour, fbi assisting in the case of the ottawa shooting, sources have confirmed to ctv news
rumour, developing story: soldier shot in ottawa at war memorial.
rumour, scene at ottawa war memorial. soldier on duty shot.
rumour, uniformed canadian soldier shot at war memorial in ottawa.
rumour, these are the areas where the ottawashootings have been reported.
rumour, rest in peace to the soldier killed in ottawa today
rumour, extended video: guns raised, officers rush towards rideaucentre
rumour, more: ottawa shootings suspect identified as michael zehaf-bibeau, 32; unclear if there are other shooters:
rumour, watch: shots are fired inside ottawa's parliament building. canadian police say shooting suspect is still at large.
rumour, police in ottawa call situation 'fluid,' 'dynamic,' 'unfolding.' confirm deaths of soldier, gunman. cdnpoli
rumour, watch live: pm stephen harper expected to speak to the nation imminently on ottawashooting cbcnews cdnpoli
rumour, timing of parliament shootings - an hour later and 200+ mps and dozens of reporters would have been in hall where shooting took place
rumour, police say the shooter is on roof of building at metcalfe and sparks 1 block from parliament hill ottnews cbcott
rumour, breaking: kenneyjason confirms the soldier shot this morning has died, a parliamentary guard has also been wounded. ottawashooting
rumour, canadian media identify the soldier killed in ottawa as nathan cirillo, 24
rumour, here are the 3 locations of shootings in ottawa around parliament hill (goofleearth) from: cnnjason
rumour, pm stephen harper to address the nation on ottawashooting at 7:45 pm/et. pmharper cdnpoli
rumour, ottawa police say they are dealing with multiple suspects, can't confirm whether all have guns but are confirming multiple suspects.
rumour, soldier killed in canada shooting was a young reservist with a six-year-old son
rumour, rip corporal nathan cirillo thank you for serving our country. gone but never forgotten ottawashooting
rumour, soldier shot at war memorial in ottawa has died. live coverage:
rumour, canadian soldier shot in ottawa a reservist from hamilton hamont canpoli ottawashooting
rumour, canada's parliament building in ottawa is on lockdown after reports of an active shooter
rumour, cxn: 1 gunman shot dead in parliament hill attack, soldier shot in ottawa no report soldier dead. ottawashooting
rumour, breaking: reports of shots fired on parliament hill
rumour, u.s. officials: suspected shooter in ottawa rampage identified as canadian-born michael zehaf-bibeau. live blog:
rumour, parliament was stormed by at least one gunman who shot a soldier standing guard at canada's war memorial. cbcott ottnews
rumour, leafs-sens game postponed after shootings on parliament hill
rumour, prayers for ottawa, those directly affected, family of the soldier who died. god keep our land glorious and free. westandonguardforthee
rumour, university of ottawa is in lockdown, classes are cancelled
rumour, ottawa hospital confirms it's treating 3 ottawashooting victims - 2 in stable condition
rumour, reports of a shooting at rideau centre have misstated the shooting location.
rumour, the canadian soldier shot at the war memorial has died, officials reported. ottawashooting
rumour, shots were fired at canada's national war memorial in ottawa and a ceremonial guard was shot, police say.
